name,salary_from,salary_to,salary_currency,area_name,published_at
Инженер 1 категории,,35000,RUR,Белоозёрский (Московская область),2022-12-27T08:27:03+0300
Дизайнер корпусной мебели,20000,50000,RUR,Бийск,2022-12-27T08:52:46+0300
Сервисный инженер,55700,55700,RUR,Новокузнецк,2022-12-27T08:20:41+0300
Фрезеровщик 6 разряда,,60000,RUR,Белоозёрский (Московская область),2022-12-27T08:27:02+0300
Инженер-электроник,40000,40000,RUR,Самара,2022-12-27T08:51:02+0300
"Руководитель проекта, Начальник электромонтажного участка",90000,,RUR,Сочи,2022-12-27T08:39:10+0300
Инженер сервисного обслуживания сельскохозяйственной техники,60000,80000,RUR,Батайск,2022-12-27T08:31:33+0300
Токарь,55000,90000,RUR,Нижний Новгород,2022-12-27T08:12:09+0300
Менеджер по работе с постоянными клиентами по продаже программного обеспечения и сервисов (программ),45000,,RUR,Екатеринбург,2022-12-27T08:09:50+0300
Специалист по сопровождению 1С,70000,,RUR,Красноярск,2022-12-27T08:27:22+0300
Механик-наладчик швейного оборудования,65000,,RUR,Подольск (Московская область),2022-12-27T08:01:55+0300
Токарь-карусельщик,45000,,RUR,Чебоксары,2022-12-27T08:34:33+0300
Фрезеровщик,40000,,RUR,Чебоксары,2022-12-27T08:36:50+0300
Специалист по БДД,96000,104000,RUR,Иркутск,2022-12-27T08:24:38+0300
Программист 1C,80000,80000,RUR,Саратов,2022-12-27T08:50:03+0300
Сервисный инженер,90000,,RUR,Москва,2022-12-27T08:58:13+0300
Сервисный инженер по ремонту спецтехники,80000,,RUR,Казань,2022-12-27T08:31:00+0300
Инженер (обслуживание частотных преобразователей),,70000,RUR,Котельниково,2022-12-27T08:18:57+0300
Бортовой механик (электромеханик),250000,,KZT,Алматы,2022-12-27T08:22:49+0300
Механик,45000,50000,RUR,Ковров,2022-12-27T08:59:54+0300
Токарь,60000,,RUR,Казань,2022-12-27T08:31:31+0300
Электромонтажник по электрическим машинам,40000,,RUR,Тверь,2022-12-27T08:57:10+0300
Инженер технической поддержки оргтехники,50000,,RUR,Москва,2022-12-27T08:41:29+0300
Фрезеровщик,35000,,RUR,Омск,2022-12-27T08:51:12+0300
Техник/Оператор станков с ЧПУ,40000,80000,RUR,Новосибирск,2022-12-27T08:06:17+0300
Монтажник слаботочных систем,48000,,RUR,Воронеж,2022-12-27T08:06:03+0300
Инженер сервисного обслуживания тракторов,65000,90000,RUR,Аксай (Ростовская область),2022-12-27T08:31:42+0300
Механик транспортного участка,,45000,RUR,Ярославль,2022-12-27T08:30:51+0300
Инженер по АСУ и электроприводу (обслуживание частотных преобразователей),,70000,RUR,Волгоград,2022-12-27T08:18:57+0300
Системный администратор,35000,,RUR,Екатеринбург,2022-12-27T08:49:25+0300
Lead Product Analyst,250000,,RUR,Москва,2022-12-27T08:37:11+0300
Веб-программист Bitrix,65000,120000,RUR,Краснодар,2022-12-27T08:59:29+0300
Специалист по БДД,96000,104000,RUR,Чита,2022-12-27T08:25:05+0300
Токарь 4-5 разрядов,45000,60000,RUR,Томск,2022-12-27T08:06:19+0300
"Электромеханик ВОЛС (на ст. Костанай, ст. Тобол)",181000,,KZT,Костанай,2022-12-27T08:24:04+0300
Механик,45000,,RUR,Омск,2022-12-27T08:10:58+0300
Инженер SIEM,150000,,RUR,Москва,2022-12-27T08:25:26+0300
Консультант-методолог 1С,,180000,RUR,Москва,2022-12-27T08:56:55+0300
Шлифовщик,45000,,RUR,Чебоксары,2022-12-27T08:36:04+0300
Наладчик оборудования (слесарь-ремонтник),35000,40000,RUR,Кострома,2022-12-27T08:01:37+0300
"Монтажник слаботочных систем (АПС, СОУЭ)",60000,,RUR,Москва,2022-12-27T08:45:53+0300
Наладчик станков и манипуляторов с ПУ 8 разряд,60000,,RUR,Томск,2022-12-27T08:06:20+0300
Токарь (Крутая горка),22000,,RUR,Омск,2022-12-27T08:51:32+0300
Специалист по анализу и мониторингу рынка,40000,,RUR,Череповец,2022-12-27T08:17:21+0300
Механик-диагност,50000,,RUR,Калуга,2022-12-27T08:40:53+0300
Сервисный инженер,45000,,RUR,Воронеж,2022-12-27T08:00:36+0300
Backend разработчик,3500,5500,USD,Москва,2022-12-27T08:59:17+0300
Ведущий инженер (программист C#),40000,60000,RUR,Самара,2022-12-27T08:26:13+0300
Специалист отдела методологии (Бизнес-аналитик),,60000,RUR,Тюмень,2022-12-27T08:26:05+0300
Специалист по БДД,96000,104000,RUR,Красноярск,2022-12-27T08:24:34+0300
Программист 1С,150000,,RUR,Екатеринбург,2022-12-27T08:42:52+0300
Frontend разработчик 1С Битрикс,60000,80000,RUR,Москва,2022-12-27T08:38:34+0300
Программист 1С,100000,,RUR,Новосибирск,2022-12-27T08:11:34+0300
Механик,44000,,RUR,Бутурлиновка,2022-12-27T08:21:23+0300
Менеджер проектных продаж (руководитель строительных проектов),80000,,RUR,Красноярск,2022-12-27T08:04:37+0300
Категорийный менеджер (оптовый канал сбыта),,86600,RUR,Воронеж,2022-12-27T08:55:48+0300
Руководитель IT проекта,60000,,RUR,Саратов,2022-12-27T08:29:07+0300
Техник ОПС,40000,80000,RUR,Екатеринбург,2022-12-27T08:32:46+0300
Токарь-расточник,40000,,RUR,Чебоксары,2022-12-27T08:33:53+0300
Инженер/специалист информационной безопасности,45000,75000,RUR,Новосибирск,2022-12-27T08:56:39+0300
Контролер технического состояния ТС,46000,51000,RUR,Архангельск,2022-12-27T08:58:31+0300
Разработчик 1С (senior),160000,,RUR,Тюмень,2022-12-27T08:58:15+0300
Инженер-технолог по металлобработке (электромеханик),35000,65000,RUR,Уфа,2022-12-27T08:09:08+0300
Системный аналитик (Академгородок),,120000,RUR,Новосибирск,2022-12-27T08:12:43+0300
Главный механик,70000,100000,RUR,Новокуйбышевск,2022-12-27T08:15:50+0300
"Front-End разработчик (Vue.js, Typescript, SPA)",5000,,USD,Эстония,2022-12-27T08:10:44+0300
"Front-End разработчик (Vue.js, Typescript, SPA)",5000,,USD,Турция,2022-12-27T08:10:56+0300
Механик транспортного отдела,150000,150000,KZT,Усть-Каменогорск,2022-12-27T08:11:38+0300
Специалист по сопровождению 1С,70000,,RUR,Хабаровск,2022-12-27T08:27:22+0300
Fashion Designer / Дизайнер одежды / Художник - Модельер,50000,80000,RUR,Новосибирск,2022-12-27T08:16:25+0300
Специалист по сопровождению 1С,70000,,RUR,Екатеринбург,2022-12-27T08:27:22+0300
Инженер сервисного обслуживания сельскохозяйственной техники,60000,80000,RUR,Аксай (Ростовская область),2022-12-27T08:31:21+0300
Senior Java / Kotlin Developer,320000,,RUR,Санкт-Петербург,2022-12-27T08:11:03+0300
Аналитик 1С,150000,,RUR,Москва,2022-12-27T08:48:34+0300
Токарь-расточник,70000,,RUR,Нижний Новгород,2022-12-27T08:30:30+0300
Рабочий по комплексному обслуживанию зданий и сооружений,550,,BYR,Витебск,2022-12-27T08:41:22+0300
Программист 1С,170000,,RUR,Москва,2022-12-27T08:47:23+0300
Электромеханик связи (техник связи),39000,39000,RUR,Новосибирск,2022-12-27T08:08:56+0300
Регулировщик РЭАиП 6 разряда цеха по производству электроники,46000,,RUR,Томск,2022-12-27T08:06:20+0300
Слесарь-сборщик РЭАиП 5 разряда цеха по производству электроники,40000,,RUR,Томск,2022-12-27T08:06:20+0300
Сетевой инженер,45000,,RUR,Рязань,2022-12-27T08:11:21+0300
"Директор по развитию розничной сети гипермаркетов ""Маяк""",75000,350000,RUR,Москва,2022-12-27T08:41:15+0300
Сетевой инженер,45000,,RUR,Волгоград,2022-12-27T08:11:22+0300
Инженер сервисного обслуживания сельскохозяйственной техники,65000,90000,RUR,Новочеркасск,2022-12-27T08:31:29+0300
"Слесарь механосборочных работ 5 разряда, механического цеха",40000,,RUR,Томск,2022-12-27T08:06:20+0300
Заместитель начальника транспортного отдела,55000,70000,RUR,Москва,2022-12-27T08:57:07+0300
Механик ЛЗУ/Главный механик,,100000,RUR,Иркутск,2022-12-27T08:00:23+0300
Оператор станков с ПУ,38300,,RUR,Томск,2022-12-27T08:06:19+0300
Логист (специалист по контейнерному оборудованию),80000,110000,RUR,Владивосток,2022-12-27T08:30:35+0300
Расточник,,95000,RUR,Москва,2022-12-27T08:58:23+0300
Наладчик станков с ЧПУ (фрезерная группа),45000,60000,RUR,Уфа,2022-12-27T08:27:11+0300
Программист 1C,,120000,RUR,Казань,2022-12-27T08:27:50+0300
Специалист по сопровождению 1С,70000,,RUR,Владивосток,2022-12-27T08:27:22+0300
Специалист по техническому обследованию и диагностированию лифтов,200000,,KZT,Астана,2022-12-27T08:23:46+0300
Механик по ремонту грузоподъемных машин,50000,,RUR,Москва,2022-12-27T08:59:44+0300
Программист 1С,80000,80000,RUR,Новосибирск,2022-12-27T08:08:57+0300
Наладчик машин и автоматических линий,51000,,RUR,Пермь,2022-12-27T08:02:35+0300
Электромеханик,55000,55000,RUR,Прокопьевск,2022-12-27T08:13:41+0300
Сетевой инженер,45000,,RUR,Волгодонск,2022-12-27T08:11:22+0300
Инженер сервисного обслуживания тракторов,65000,90000,RUR,Ростов-на-Дону,2022-12-27T08:31:46+0300
Инженер сервисного обслуживания сельскохозяйственной техники,60000,80000,RUR,Ростов-на-Дону,2022-12-27T08:31:25+0300
Senior Frontend разработчик Angular,200000,300000,RUR,Екатеринбург,2022-12-27T08:23:24+0300
Инженер сервисного обслуживания тракторов,65000,90000,RUR,Новочеркасск,2022-12-27T08:31:38+0300
Сервисный инженер ИБП,80000,,RUR,Москва,2022-12-27T08:32:50+0300
Координатор проекта,,60000,RUR,Саратов,2022-12-27T08:50:07+0300
Инженер-механик,250000,,KZT,Усть-Каменогорск,2022-12-27T08:03:01+0300
Сетевой инженер,45000,,RUR,Волжский (Волгоградская область),2022-12-27T08:11:22+0300
Механик-наладчик производственного оборудования,45000,,RUR,Омск,2022-12-27T08:10:59+0300
Руководитель автотранспортного отдела,120000,120000,RUR,Москва,2022-12-27T09:27:11+0300
Разработчик IOS приложений,,140000,RUR,Санкт-Петербург,2022-12-27T09:36:20+0300
Android developer / android разработчик,90000,120000,RUR,Москва,2022-12-27T09:46:48+0300
Веб-дизайнер (удаленно),65000,100000,RUR,Кемерово,2022-12-27T09:47:33+0300
IOS разработчик,60000,,RUR,Улан-Удэ,2022-12-27T09:07:03+0300
Графический дизайнер,30000,,RUR,Ижевск,2022-12-27T09:04:23+0300
Стажер-разработчик,18000,25000,RUR,Чебоксары,2022-12-27T09:58:36+0300
Помощник системного администратора,50000,50000,RUR,Санкт-Петербург,2022-12-27T09:48:51+0300
Помощник дизайнера,20000,40000,RUR,Санкт-Петербург,2022-12-27T09:08:41+0300
Редактор статей (подработка),,100000,RUR,Москва,2022-12-27T09:26:57+0300
Специалист по планированию строительного проекта,170000,,RUR,Москва,2022-12-27T09:25:13+0300
Помощник Менеджера Маркетплейсов,25000,30000,RUR,Пермь,2022-12-27T09:58:24+0300
Дизайнер / Начинающий специалист,60000,80000,RUR,Москва,2022-12-27T09:38:30+0300
Редактор/копирайтер,50000,,RUR,Санкт-Петербург,2022-12-27T09:28:31+0300
Главный инженер автотранспортного управления,95000,,RUR,Новокузнецк,2022-12-27T09:18:18+0300
Паяльщик радиоэлектронной аппаратуры и приборов,40000,,RUR,Иркутск,2022-12-27T09:09:52+0300
Программист,33753,36700,RUR,Омск,2022-12-27T09:36:28+0300
Аналитик операционной деятельности,,80000,RUR,Екатеринбург,2022-12-27T09:35:47+0300
Специалист по техническому обслуживанию (АХО),60000,60000,RUR,Москва,2022-12-27T09:11:35+0300
Backend Разработчик,40000,70000,RUR,Красноярск,2022-12-27T09:27:56+0300
Графический дизайнер,50000,,RUR,Улан-Удэ,2022-12-27T09:39:48+0300
Системный администратор,,50000,RUR,Нижний Новгород,2022-12-27T09:14:44+0300
Ведущий менеджер проекта в курьерскую службу,60000,150000,RUR,Москва,2022-12-27T09:20:34+0300
Программист-разработчик,40000,,RUR,Пенза,2022-12-27T09:29:05+0300
Главный механик,80000,,RUR,Краснодар,2022-12-27T09:33:41+0300
Программист 1 С,70000,,RUR,Благовещенск (Амурская область),2022-12-27T09:29:39+0300
Диспетчер отдела сервисного обслуживания и комплексной диагностики,40000,,RUR,Челябинск,2022-12-27T09:59:29+0300
Рабочий по комплексному обслуживанию зданий,45000,60000,RUR,Нижний Новгород,2022-12-27T09:18:15+0300
Технический специалист (Чертыгашева 84),30000,40000,RUR,Абакан,2022-12-27T09:36:54+0300
Резчик поролона,50000,50000,RUR,Челябинск,2022-12-27T09:00:32+0300
Middle C++ (Backend) разработчик,120000,160000,RUR,Апатиты,2022-12-27T09:28:38+0300
WEB разработчик PHP,80000,120000,RUR,Томск,2022-12-27T09:55:22+0300
Оператор оборудования,1500,,BYR,Минск,2022-12-27T09:50:09+0300
Наладчик технологического оборудования,50000,,RUR,Рязань,2022-12-27T09:58:17+0300
Управляющий бизнес-центром,85000,,RUR,Санкт-Петербург,2022-12-27T09:48:45+0300
Аналитик,45000,,RUR,Симферополь,2022-12-27T09:29:22+0300
Системный администратор,65000,65000,RUR,Киров (Кировская область),2022-12-27T09:00:14+0300
Администратор проектов,90400,90400,RUR,Москва,2022-12-27T09:27:58+0300
Механик (г. Алупка),60000,,RUR,Ялта,2022-12-27T09:23:07+0300
Шлифовщик-полировщик камня,1500,,BYR,Минск,2022-12-27T09:36:55+0300
Оператор станков с ЧПУ,100000,100000,RUR,Москва,2022-12-27T09:31:14+0300
Проект-менеджер,90000,,RUR,Волгоград,2022-12-27T09:50:23+0300
Web-программист,120000,200000,RUR,Москва,2022-12-27T09:03:29+0300
Специалист письменной поддержки в Яндекс Директ (удаленно),35000,60000,RUR,Нижний Новгород,2022-12-27T09:30:22+0300
Специалист информационных технологий,90000,,RUR,Москва,2022-12-27T09:56:25+0300
Сменный инженер отдела IT,46800,46800,RUR,Тюмень,2022-12-27T09:53:42+0300
Специалист письменной поддержки в Яндекс Директ (удаленно),35000,60000,RUR,Краснодар,2022-12-27T09:30:15+0300
Веб-разработчик (Веб-мастер),,210000,RUR,Москва,2022-12-27T09:14:31+0300
Системный администратор,40000,40000,RUR,Ставрополь,2022-12-27T09:48:11+0300
Junior+ Backend Разработчик,100000,,RUR,Москва,2022-12-27T09:36:23+0300
Оператор станков с ЧПУ,50000,,RUR,Омск,2022-12-27T09:44:43+0300
Ассистент в фотостудию,,60000,RUR,Домодедово,2022-12-27T09:06:04+0300
Администратор,50000,100000,RUR,Химки,2022-12-27T09:25:54+0300
Корреспондент,45000,45000,RUR,Санкт-Петербург,2022-12-27T09:54:24+0300
Специалист технической поддержки,60000,,RUR,Москва,2022-12-27T09:19:38+0300
Сервисный инженер / Инженер техподдержки,52000,74000,RUR,Зеленоград,2022-12-27T09:48:37+0300
Специалист технической поддержки,40000,,RUR,Казань,2022-12-27T09:34:00+0300
Корреспондент,30000,40000,RUR,Нефтеюганск,2022-12-27T09:52:24+0300
Технический специалист,500000,,KZT,Костанай,2022-12-27T09:59:14+0300
Помощник токаря на станок ЧПУ,40000,50000,RUR,Москва,2022-12-27T09:29:32+0300
Специалист письменной поддержки в Яндекс Директ (удаленно),35000,60000,RUR,Воронеж,2022-12-27T09:30:19+0300
Специалист чат-поддержки в Яндекс Директ (удаленно),35000,60000,RUR,Волгоград,2022-12-27T09:30:10+0300
Разработчик программного обеспечения (удаленная работа),80000,,RUR,Чебоксары,2022-12-27T09:17:32+0300
Ведущий инженер БДД,96000,96000,RUR,Одинцово,2022-12-27T09:08:31+0300
Графический дизайнер,250000,,KZT,Алматы,2022-12-27T09:57:24+0300
Тестировщик ПО,50000,100000,RUR,Москва,2022-12-27T09:21:10+0300
Специалист поддержки 1С,101000,147000,RUR,Москва,2022-12-27T09:41:53+0300
Главный механик/начальник ремонтной зоны,120000,130000,RUR,Москва,2022-12-27T09:49:09+0300
Техник/системный администратор,25000,30000,RUR,Пермь,2022-12-27T09:27:37+0300
Системный администратор,200000,200000,KZT,Астана,2022-12-27T09:40:51+0300
Ведущий администратор по критической информационной инфраструктуре,50000,55000,RUR,Вологда,2022-12-27T09:05:18+0300
Специалист службы ИТ,60000,60000,RUR,Зеленоград,2022-12-27T09:23:52+0300
Руководитель отдела внедрения и сопровождения партнеров,70000,90000,RUR,Екатеринбург,2022-12-27T09:40:07+0300
Системный администратор (главный специалист),90000,112500,RUR,Москва,2022-12-27T09:11:11+0300
Специалист технической поддержки,43000,51000,RUR,Химки,2022-12-27T09:12:26+0300
Программист Full-stack,60000,80000,RUR,Ростов-на-Дону,2022-12-27T09:49:43+0300
Работник элеватора,850,1300,BYR,Калинковичи,2022-12-27T09:58:53+0300
Аналитик,50000,70000,RUR,Сургут,2022-12-27T09:40:38+0300
Младший специалист техподдержки,30000,54000,RUR,Москва,2022-12-27T09:23:21+0300
Начальник автоколонны,80000,80000,RUR,Новосибирск,2022-12-27T09:33:28+0300
Монтажник слаботочных систем,80000,,RUR,Санкт-Петербург,2022-12-27T09:50:19+0300
Оператор листогибочного станка( Производство металлоконструкций),105000,,RUR,Санкт-Петербург,2022-12-27T09:22:25+0300
Редактор художественной литературы,60000,,RUR,Москва,2022-12-27T09:06:45+0300
Сервисный инженер по робототехнике,85000,125000,RUR,Санкт-Петербург,2022-12-27T09:11:33+0300
Оператор станков с ЧПУ по металлу,50000,90000,RUR,Тверь,2022-12-27T09:15:45+0300
Арт-менеджер,30000,,RUR,Новороссийск,2022-12-27T09:14:27+0300
Инженер-программист встраиваемых систем,32000,65000,RUR,Чебоксары,2022-12-27T09:07:01+0300
Младший системный администратор,58000,,RUR,Москва,2022-12-27T09:26:03+0300
Системный администратор,80000,130000,RUR,Москва,2022-12-27T09:46:43+0300
Оператор плазменной резки,50000,60000,RUR,Набережные Челны,2022-12-27T09:50:41+0300
Руководитель отдела маркетинга (аналитик),10000000,14000000,UZS,Ташкент,2022-12-27T09:55:39+0300
Оператор станка с ЧПУ,80000,,RUR,Ставрополь,2022-12-27T09:20:16+0300
Ученик токаря,15000,,RUR,Омск,2022-12-27T09:44:35+0300
Специалист отдела мониторинга и аналитики,23000,50000,RUR,Элиста,2022-12-27T09:35:59+0300
Инженер по сборке платежных терминалов,55000,70000,RUR,Москва,2022-12-27T09:41:21+0300
Старший системный администратор,,110000,RUR,Санкт-Петербург,2022-12-27T09:07:36+0300
Ведущий программист 1С,160000,,RUR,Владимир,2022-12-27T09:26:07+0300
Декоратор,53000,,RUR,Одинцово,2022-12-27T09:12:34+0300
"Разработчик php/Laravel/Bitrix, удаленно",120000,150000,RUR,Москва,2022-12-27T09:48:00+0300
Системный администратор,35000,,RUR,Калининград,2022-12-27T09:30:35+0300
Drip irrigation Unit Manager,10000000,,UZS,Ташкент,2022-12-27T09:59:39+0300
Специалист по технической поддержке,,75600,RUR,Одинцово,2022-12-27T09:19:02+0300
Бизнес-аналитик,65000,73000,RUR,Воронеж,2022-12-27T09:02:27+0300
Специалист отдела по работе в проектных модулях,54423,,RUR,Санкт-Петербург,2022-12-27T09:48:24+0300
Наладчик станков с ЧПУ,55000,,RUR,Ижевск,2022-12-27T09:31:57+0300
Инженер-программист C#,60000,,RUR,Уфа,2022-12-27T09:38:51+0300
Механик автоколонны (Калуга),35000,40000,RUR,Калуга,2022-12-27T09:11:29+0300
Монтажник РЭА печатных плат,50000,,RUR,Ульяновск,2022-12-27T09:55:16+0300
Системный администратор,80000,150000,RUR,Вологда,2022-12-27T09:37:34+0300
Дизайнер-визуализатор (Вторчермет),45000,,RUR,Екатеринбург,2022-12-27T09:08:07+0300
Специалист технической поддержки,35000,,RUR,Томск,2022-12-27T09:27:13+0300
Middle/Senior C# Backend разработчик,700000,,KZT,Алматы,2022-12-27T09:30:42+0300
Java-разработчик,,1000000,KZT,Алматы,2022-12-27T09:11:40+0300
Наладчик станков с ЧПУ,85000,120000,RUR,Набережные Челны,2022-12-27T09:02:21+0300
Старший менеджер по внедрению новых продуктов,,127000,RUR,Санкт-Петербург,2022-12-27T09:11:36+0300
Разработчик 1С,130000,,RUR,Москва,2022-12-27T09:43:36+0300
Руководитель аналитического управления,,140000,RUR,Москва,2022-12-27T09:49:34+0300
Разработчик 1С/middle,120000,180000,RUR,Москва,2022-12-27T09:28:30+0300
Начинающий мастер,65000,,RUR,Троицк (Московская область),2022-12-27T09:17:09+0300
Техник (с функциями закупки техники),27000,32000,RUR,Вологда,2022-12-27T09:06:57+0300
Оператор станка с ЧПУ,80000,,RUR,Краснодар,2022-12-27T09:18:17+0300
Инженер технической поддержки,60900,,RUR,Химки,2022-12-27T09:36:42+0300
Руководитель отдела информационных технологий,100000,100000,RUR,Калининград,2022-12-27T09:57:39+0300
Сервисный инженер (Принтеры/МФУ) в IT- компанию,70000,150000,RUR,Москва,2022-12-27T09:28:14+0300
Middle DevOps specialist,120000,180000,RUR,Москва,2022-12-27T09:27:56+0300
Принт-менеджер (Июльских дней),42700,47900,RUR,Нижний Новгород,2022-12-27T09:53:46+0300
Программист 1С Middle/Middle+,200000,,RUR,Нижний Новгород,2022-12-27T09:11:35+0300
Оператор станков с ПУ,65000,,RUR,Набережные Челны,2022-12-27T09:46:07+0300
Специалист службы сопровождения информационной системы,85000,,RUR,Москва,2022-12-27T09:36:40+0300
Оператор-наладчик станков ЧПУ,60000,,RUR,Ижевск,2022-12-27T09:37:51+0300
Токарь,110000,140000,RUR,Пермь,2022-12-27T09:08:28+0300
Механик по ремонту тяжелой техники,110000,120000,RUR,Пермь,2022-12-27T09:11:29+0300
Системный администратор проекта,60000,60000,RUR,Москва,2022-12-27T09:27:50+0300
Технический писатель,,250000,RUR,Москва,2022-12-27T09:11:38+0300
Ученик оператора станков ЧПУ,40000,52000,RUR,Тольятти,2022-12-27T09:01:43+0300
Оператор лазерной резки,50000,,RUR,Краснодар,2022-12-27T09:41:22+0300
"Разработчик php/Laravel/Bitrix, удаленно",120000,150000,RUR,Санкт-Петербург,2022-12-27T09:48:00+0300
Администратор баз данных,18000,,RUR,Смоленск,2022-12-27T09:24:23+0300
Web-разработчик (fullstack),73000,,RUR,Уфа,2022-12-27T09:44:07+0300
Руководитель группы архитекторов,90000,,RUR,Екатеринбург,2022-12-27T09:06:02+0300
Специалист технической поддержки,32000,,RUR,Пенза,2022-12-27T09:58:30+0300
Сервисный механик,40000,60000,RUR,Морозовск,2022-12-27T09:50:20+0300
Инженер-программист станков с ЧПУ / оператор станков с ЧПУ,70000,,RUR,Ульяновск,2022-12-27T09:23:13+0300
Техник (автоматика),70000,,RUR,Санкт-Петербург,2022-12-27T09:51:10+0300
Руководитель службы технической поддержки бизнес-приложений,150000,200000,RUR,Санкт-Петербург,2022-12-27T09:31:03+0300
Инженер отдела мониторинга (технической поддержки L1),1700,,BYR,Минск,2022-12-27T09:02:04+0300
Электромеханик по средствам автоматики и приборам технологического оборудования,,50000,RUR,Тамбов,2022-12-27T09:56:39+0300
Оператор/наладчик станков ЧПУ,122000,,RUR,Курган,2022-12-27T09:40:51+0300
Механик на производство,60000,70000,RUR,Нижний Новгород,2022-12-27T09:38:12+0300
Инженер сервисной службы,35000,,RUR,Ярославль,2022-12-27T09:27:22+0300
Сервисный инженер,80000,,RUR,Санкт-Петербург,2022-12-27T09:53:33+0300
Техник (ИТ - специалист),25000,32000,RUR,Вологда,2022-12-27T09:05:58+0300
Системный аналитик (в офис),1500,2500,USD,Ташкент,2022-12-27T09:24:02+0300
Фрезеровщик,110000,140000,RUR,Иркутск,2022-12-27T09:07:16+0300
Системный администратор,40000,,RUR,Донецк,2022-12-27T09:36:35+0300
Младший аналитик,60000,60000,RUR,Москва,2022-12-27T09:50:40+0300
Инженер-механик,70000,,RUR,Краснодар,2022-12-27T09:20:32+0300
Инженер технической поддержки (слаботочные системы) со знанием Lyrix,80000,,RUR,Москва,2022-12-27T09:23:18+0300
Оператор токарного станка ЧПУ,80000,120000,RUR,Санкт-Петербург,2022-12-27T09:31:00+0300
Инженер-механик,50000,,RUR,Елабуга,2022-12-27T09:44:34+0300
Аналитик бизнес-процессов,,90000,RUR,Москва,2022-12-27T09:54:54+0300
Менеджер-дизайнер,75000,,RUR,Москва,2022-12-27T09:15:35+0300
Техник по импортозамещению,30000,32000,RUR,Вологда,2022-12-27T09:04:19+0300
Middle/Senior Android разработчик,600000,,KZT,Алматы,2022-12-27T09:30:52+0300
Оператор станка с ЧПУ,45000,,RUR,Балахна,2022-12-27T09:17:10+0300
Монтажник РЭА и приборов,,80000,RUR,Москва,2022-12-27T09:37:18+0300
Специалист по сервисному обслуживанию,50000,60000,RUR,Новотитаровская,2022-12-27T09:51:45+0300
Системный администратор,,80000,RUR,Зеленоград,2022-12-27T09:07:30+0300
Токарь-карусельщик,128700,,RUR,Курган,2022-12-27T09:37:10+0300
Техник АХО,40000,,RUR,Самара,2022-12-27T09:00:12+0300
Специалист по внедрению ERP-систем,45000,50000,RUR,Санкт-Петербург,2022-12-27T09:31:03+0300
Специалист-разработчик ПО (Oracle/PostgreSQL),130000,,RUR,Москва,2022-12-27T09:23:31+0300
Инженер группы технической поддержки,45000,,RUR,Краснодар,2022-12-27T09:25:37+0300
Администратор Битрикс24 (удаленно),35000,35000,RUR,Москва,2022-12-27T09:59:42+0300
Бизнес-аналитик,130000,130000,RUR,Санкт-Петербург,2022-12-27T09:55:51+0300
Специалист голосовой поддержки пользователей,33200,46400,RUR,Тольятти,2022-12-27T09:59:00+0300
Специалист отдела ИТ/системный администратор,40000,,RUR,Новосибирск,2022-12-27T09:56:01+0300
Механик-наладчик промышленного оборудования,38000,38000,RUR,Белгород,2022-12-27T09:16:29+0300
Сервисный механик,70000,,RUR,Люберцы,2022-12-27T09:41:29+0300
Аналитик Power BI (стажер),25000,,RUR,Москва,2022-12-27T09:42:16+0300
Механик по ремонту тяжелой техники,110000,120000,RUR,Екатеринбург,2022-12-27T09:11:29+0300
Инженер-испытатель,82500,,RUR,Москва,2022-12-27T09:13:06+0300
Бизнес-аналитик,500000,700000,KZT,Алматы,2022-12-27T09:11:53+0300
Проект-менеджер,80000,,RUR,Тюмень,2022-12-27T09:17:23+0300
Токарь,100000,,RUR,Москва,2022-12-27T09:01:09+0300
Оператор станка с ЧПУ (деревообработка),80000,,RUR,Ногинск,2022-12-27T09:09:46+0300
Токарь,95000,115000,RUR,Улан-Удэ,2022-12-27T09:07:45+0300
Фрезеровщик,105000,,RUR,Курган,2022-12-27T09:44:57+0300
Механик,200000,450000,KZT,Алматы,2022-12-27T09:43:04+0300
Сотрудник сервисной службы,35000,85000,RUR,Тула,2022-12-27T09:05:09+0300
Сервис – инженер (г. Орск),55000,75000,RUR,Орск,2022-12-27T09:41:51+0300
Специалист технической поддержки WMS,70000,,RUR,Красногорск,2022-12-27T09:21:54+0300
Токарь,111000,,RUR,Курган,2022-12-27T09:35:23+0300
Специалист технической поддержки/Системный администратор,50000,50000,RUR,Москва,2022-12-27T09:46:07+0300
Оператор лазерного станка,65000,80000,RUR,Санкт-Петербург,2022-12-27T09:03:28+0300
Ведущий специалист по защите информации,90000,,RUR,Москва,2022-12-27T09:23:49+0300
Сервисный механик,70000,,RUR,Котельники,2022-12-27T09:41:32+0300
Системный администратор,30000,35000,RUR,Кирово-Чепецк,2022-12-27T09:29:04+0300
Senior .Net developer,280000,,RUR,Москва,2022-12-27T09:21:58+0300
Механик,50000,,RUR,Барнаул,2022-12-27T09:28:55+0300
Монтажник ВОЛС (монтаж линий связи),40000,90000,RUR,Старокорсунская,2022-12-27T09:52:11+0300
Оператор копицентра / Принт-менеджер,45000,60000,RUR,Москва,2022-12-27T09:25:46+0300
Оператор станков,150000,300000,KZT,Алматы,2022-12-27T09:07:26+0300
Сервисный инженер,57000,,RUR,Санкт-Петербург,2022-12-27T09:11:00+0300
Middle/Senior PHP разработчик,500000,800000,KZT,Астана,2022-12-27T09:55:40+0300
