name,salary_from,salary_to,salary_currency,area_name,published_at
Инженер связи и видеонаблюдения,60000,60000,RUR,Тюмень,2022-12-27T05:40:57+0300
Инженер по технической поддержке,58100,58100,RUR,Находка,2022-12-27T05:30:24+0300
Инженер удаленной технической поддержки,,35000,RUR,Красноярск,2022-12-27T05:47:30+0300
Инженер сервисной поддержки (производство),61400,61400,RUR,Новосибирск,2022-12-27T05:24:40+0300
Аналитик в Коммерческий департамент,120000,120000,RUR,Москва,2022-12-27T05:16:13+0300
Специалист технической поддержки,70000,,RUR,Владивосток,2022-12-27T05:54:08+0300
Разработчик Python и SQL,60000,,RUR,Владивосток,2022-12-27T05:11:02+0300
Системный администратор,75000,,RUR,Южно-Сахалинск,2022-12-27T05:11:02+0300
Специалист ПТО,280000,280000,KZT,Алматы,2022-12-27T05:49:42+0300
Менеджер по управлению проектами,50000,100000,RUR,Ростов-на-Дону,2022-12-27T05:27:58+0300
Помощник системного администратора,45000,,RUR,Владивосток,2022-12-27T05:11:02+0300
Ведущий менеджер СМК,45000,,RUR,Барнаул,2022-12-27T05:57:43+0300
"Руководитель проекта ""Этномир""",120000,,RUR,Обнинск,2022-12-27T05:31:52+0300
Программист 1С,110000,,RUR,Новосибирск,2022-12-27T05:14:32+0300
Программист PHP,130000,,RUR,Барнаул,2022-12-27T05:55:37+0300
Администратор проекта,45000,45000,RUR,Кемерово,2022-12-27T05:27:51+0300
Ведущий специалист по информационной безопасности,130000,,RUR,Новокузнецк,2022-12-27T05:27:53+0300
Механик-наладчик производственного оборудования,30000,,RUR,Кемерово,2022-12-27T05:24:31+0300
Токарь,70000,,RUR,Брянск,2022-12-27T05:07:17+0300
Механик по транспорту,35000,,RUR,Барнаул,2022-12-27T05:10:34+0300
DevOps-инженер,130000,,RUR,Барнаул,2022-12-27T05:55:23+0300
Системный администратор,45000,,RUR,Хабаровск,2022-12-27T05:11:02+0300
Инженер удаленной технической поддержки,,35000,RUR,Барнаул,2022-12-27T05:46:41+0300
Системный администратор,60000,,RUR,Владивосток,2022-12-27T05:11:02+0300
Оператор листогибочного станка с ЧПУ,47000,,RUR,Хабаровск,2022-12-27T05:37:12+0300
Сервисный инженер,40000,60000,RUR,Новокузнецк,2022-12-27T05:21:12+0300
Менеджер отдела технической поддержки,250000,350000,KZT,Алматы,2022-12-27T05:19:28+0300
Дежурный системный администратор,67000,,RUR,Владивосток,2022-12-27T05:11:01+0300
Сервисный инженер,40000,60000,RUR,Прокопьевск,2022-12-27T05:21:15+0300
Сервисный инженер,40000,60000,RUR,Кемерово,2022-12-27T05:21:09+0300
Токарь-универсал,35000,40000,RUR,Кемерово,2022-12-27T05:10:30+0300
Старший механик по ЖД,35000,40000,RUR,Тюмень,2022-12-27T05:40:58+0300
Наладчик-оператор/Помощник наладчика,35000,,RUR,Черепаново,2022-12-27T05:31:21+0300
Наладчик технологического оборудования,38000,38000,RUR,Черепаново,2022-12-27T05:31:21+0300
Middle iOS Developer,120000,200000,RUR,Новосибирск,2022-12-27T05:22:57+0300
Механик,55000,,RUR,Черепаново,2022-12-27T05:31:20+0300
Руководитель отдела планирования и маркетинга,500000,,KZT,Караганда,2022-12-27T05:54:05+0300
Механик,65000,,RUR,Владивосток,2022-12-27T05:11:02+0300
Инженер систем АПС и СОУЭ (автоматической пожарной сигнализации и систем оповещения и управления эв,300000,,KZT,Астана,2022-12-27T05:11:24+0300
Инженер связи,35000,60000,RUR,Ленинск-Кузнецкий,2022-12-27T05:21:25+0300
Ученик инженера по ремонту часов,45000,,RUR,Чита,2022-12-27T05:14:49+0300
